"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","I.C_3 Case with custom fields","","Sat May 10 21:14:12 UTC 2025","skipped","Sat May 10 21:14:12 UTC 2025","","Import Cases","",""
"","5307","1.1.3 validation message for missing permissions","Add User","Sat May 10 21:50:40 UTC 2025","failed","Sat May 10 21:50:45 UTC 2025","","1.1 Org Admin","",""
"","747","1. Report from Case View page - Items tab","Reports","Sat May 10 21:15:21 UTC 2025","failed","Sat May 10 21:15:22 UTC 2025","","Verify generating and opening Report ""Primary Label 4X3""","",""
"","19454","4. Add a Person with disabled fields & check if those are shown up on Person Edit page after enabling all of the rest of the fields and editing Business Name / First Name / Last Name","","Sat May 10 21:29:24 UTC 2025","passed","Sat May 10 21:29:44 UTC 2025","","Edit Person","",""
"","0","5. Import update for item status (Undispose transaction)","","Sat May 10 21:14:20 UTC 2025","skipped","Sat May 10 21:14:20 UTC 2025","","Import Item Updates","",""
"","613","1. Verify list of already existing services are in place and all listed services have a green status","","Sat May 10 21:15:32 UTC 2025","failed","Sat May 10 21:15:32 UTC 2025","","System Services Page: verify the existing Services are in place, if a new Service gets added =>check the status for all of those","",""
"","178","1.1.1 'equals' correct Person's name","Search Checkouts","Sat May 10 21:14:39 UTC 2025","failed","Sat May 10 21:14:39 UTC 2025","1.1 Checked Out To","1 Org Admin","",""
"","5307","1.3. Add Item from Case View /Items tab -- redirect to Add Item page again","Add Item","Sat May 10 21:28:39 UTC 2025","failed","Sat May 10 21:28:45 UTC 2025","","1. Org Admin","",""
"","0","I.C_2 Case with minimum number of fields","","Sat May 10 21:14:12 UTC 2025","skipped","Sat May 10 21:14:12 UTC 2025","","Import Cases","",""
"","17951","A.M_3. Add Media to Person","","Sat May 10 21:40:37 UTC 2025","passed","Sat May 10 21:40:55 UTC 2025","","Add Media","",""
"","0","6 Validation messages for blank values","","Sat May 10 21:14:37 UTC 2025","skipped","Sat May 10 21:14:37 UTC 2025","","Import Legacy Chain of Custody","",""
"","71767","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Sat May 10 21:22:52 UTC 2025","passed","Sat May 10 21:24:03 UTC 2025","","Edit Item","",""
"","33754","3. Edit and verify reduced number of values on Person View page - Business Name","","Sat May 10 21:28:50 UTC 2025","passed","Sat May 10 21:29:23 UTC 2025","","Edit Person","",""
"","363661","Add Dispo Task with 11 1DA items and assign to Org Admin, --set different actions for item using all variations--using Actions menu and grid, --check statuses and notes upon submission","","Sat May 10 21:52:23 UTC 2025","failed","Sat May 10 21:58:26 UTC 2025","","Dispo Auth","",""
"","0","1.2. DR for single child location - No Discrepancies Found","Inventory Reports","Sat May 10 21:14:11 UTC 2025","skipped","Sat May 10 21:14:11 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","0","3. Import update for item status (Move transaction)","","Sat May 10 21:14:20 UTC 2025","skipped","Sat May 10 21:14:20 UTC 2025","","Import Item Updates","",""
"","38960","7. Remove all optional values & check history records","","Sat May 10 21:20:51 UTC 2025","passed","Sat May 10 21:21:30 UTC 2025","","Edit Case","",""
"","45871","1.8. Add Item from Person View/ Items Custodian tab -- redirect to Split Item page and complete the action","Add Item","Sat May 10 21:30:46 UTC 2025","passed","Sat May 10 21:31:32 UTC 2025","","1. Org Admin","",""
"","635","I.U_1 Import User with all fields - Precheck Only","","Sat May 10 21:15:47 UTC 2025","failed","Sat May 10 21:15:47 UTC 2025","","Import Users","",""
"","17579","1. Edit and verify all values on Person View page","","Sat May 10 21:28:00 UTC 2025","failed","Sat May 10 21:28:18 UTC 2025","","Edit Person","",""
"","22395","A.M_2. Add Media to Item","","Sat May 10 21:40:14 UTC 2025","passed","Sat May 10 21:40:37 UTC 2025","","Add Media","",""
"","55961","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ","Add Item","Sat May 10 21:27:26 UTC 2025","passed","Sat May 10 21:28:22 UTC 2025","","1. Org Admin","",""
"","0","1.2 Org Admin-- minimum case fields -- redirect to Add Case page again","Add Case","Sat May 10 21:14:38 UTC 2025","skipped","Sat May 10 21:14:38 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","89191","3.1 --- with required Custom Form filled out, all required fields on Form","Add Item","Sat May 10 21:31:44 UTC 2025","failed","Sat May 10 21:33:13 UTC 2025","","3 Add Item with Custom Form","",""
"","1001","1.8. Create and run DR for multiple storage locations - multiple Discrepancies Found","Inventory Reports","Sat May 10 21:14:11 UTC 2025","failed","Sat May 10 21:14:12 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","23282","4.3 verify Org Default Case Number Prefix and Org Formatting pattern, before and after page reload","Add Case","Sat May 10 21:18:40 UTC 2025","passed","Sat May 10 21:19:03 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","23657","5. Case Number Formatting at Office level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Sat May 10 21:20:05 UTC 2025","passed","Sat May 10 21:20:29 UTC 2025","","Edit Case","",""
"","677","1. Import and verify People with all fields - 1 person linked to 1 case, other person linked to 2 cases","","Sat May 10 21:15:28 UTC 2025","failed","Sat May 10 21:15:29 UTC 2025","","Import People","",""
"","43454","1.7. Add Item from Person View/ ""Items Belonging to"" tab -- redirect to Add Duplicate Item page and complete the action","Add Item","Sat May 10 21:30:02 UTC 2025","passed","Sat May 10 21:30:46 UTC 2025","","1. Org Admin","",""
"","758","8 Validation messages for invalid values","","Sat May 10 21:15:19 UTC 2025","failed","Sat May 10 21:15:19 UTC 2025","","Import Notes","",""
"","31188","2. Edit and verify reduced number of values on Person View page - First & Last Name","","Sat May 10 21:28:18 UTC 2025","passed","Sat May 10 21:28:49 UTC 2025","","Edit Person","",""
"","70255","3.5 --- Splitting item with Currency Form attached","Add Item","Sat May 10 21:36:57 UTC 2025","passed","Sat May 10 21:38:07 UTC 2025","","3 Add Item with Custom Form","",""
"","63643","1.1.1. add user with all fields -- log in with newly created account","Add User","Sat May 10 21:49:01 UTC 2025","passed","Sat May 10 21:50:05 UTC 2025","","1.1 Org Admin","",""
"","146","1.2 Validation messages","","Sat May 10 21:15:10 UTC 2025","failed","Sat May 10 21:15:11 UTC 2025","","Login page","",""
"","4949","1.4. Add item from Item Search -- redirect to Case View /Items tab","Add Item","Sat May 10 21:28:45 UTC 2025","failed","Sat May 10 21:28:50 UTC 2025","","1. Org Admin","",""
"","695","2. Import and verify Person with minimum fields","","Sat May 10 21:15:29 UTC 2025","failed","Sat May 10 21:15:29 UTC 2025","","Import People","",""
"","46509","3. Remove all optional values & check history records","","Sat May 10 21:25:26 UTC 2025","passed","Sat May 10 21:26:13 UTC 2025","","Edit Item","",""
"","621","2 Import Media - Precheck Only","","Sat May 10 21:15:06 UTC 2025","failed","Sat May 10 21:15:07 UTC 2025","","Import Media","",""
"","0","4. Import update for item status (Disposal transaction)","","Sat May 10 21:14:20 UTC 2025","skipped","Sat May 10 21:14:20 UTC 2025","","Import Item Updates","",""
"","99987","2.1 Add User to a Group, then add to another Group --> Verify that previous User Group is not overwritten","","Sat May 10 21:31:57 UTC 2025","passed","Sat May 10 21:33:37 UTC 2025","","Edit User","",""
"","13504","3.2 verify Office Case Number Format with custom validation message","Add Case","Sat May 10 21:17:25 UTC 2025","passed","Sat May 10 21:17:38 UTC 2025","","3. --- with Case Number formatting in Office ","",""
"","1","1.1. DR for single parent location - No Discrepancies Found","Inventory Reports","Sat May 10 21:14:11 UTC 2025","broken","Sat May 10 21:14:11 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","729","1.1 all fields turned on and edited, ""overwrite existing values"" turned OFF","Mass Update Cases","Sat May 10 21:14:21 UTC 2025","failed","Sat May 10 21:14:21 UTC 2025","","1. all fields enabled in Org Settings","",""
"","37378","1.1. All fields enabled -- redirect to View Added Person","Add Person","Sat May 10 21:42:51 UTC 2025","passed","Sat May 10 21:43:28 UTC 2025","","1. Org Admin","",""
"","9453","2.1. verify that user can add all values","Add Person","Sat May 10 21:44:23 UTC 2025","failed","Sat May 10 21:44:32 UTC 2025","","2. Power User -- all permissions in Office","",""
"","685","2 Import Notes for Item","","Sat May 10 21:15:16 UTC 2025","failed","Sat May 10 21:15:17 UTC 2025","","Import Notes","",""
"","1","1 Import Legacy Chain of Custody - Checked In transaction","","Sat May 10 21:14:37 UTC 2025","broken","Sat May 10 21:14:37 UTC 2025","","Import Legacy Chain of Custody","",""
"","0","4 Validation messages for wrongly formatted values","","Sat May 10 21:14:37 UTC 2025","skipped","Sat May 10 21:14:37 UTC 2025","","Import Legacy Chain of Custody","",""
"","2","I.C.U_1. Import Case Updates - all fields -- user and user group in Case Officer(s) field","","Sat May 10 21:14:02 UTC 2025","broken","Sat May 10 21:14:02 UTC 2025","","Import Case Updates","",""
"","13307","1.1.1 Add task with required fields only -- Unassigned-- keep template content-- search for task on the grid by Creator name-- verify values on grid","Add Task","Sat May 10 21:47:55 UTC 2025","failed","Sat May 10 21:48:08 UTC 2025","","1.1 Org Admin","",""
"","79269","7.1 verify all values are properly saved to the custom form -single user in custom User/User Group field","Add Case","Sat May 10 21:20:32 UTC 2025","failed","Sat May 10 21:21:52 UTC 2025","","7. --- with required Custom Form filled out, all required fields on Form","",""
"","93776","2.2 verify Org Case Number Format with custom validation message","Add Case","Sat May 10 21:15:09 UTC 2025","failed","Sat May 10 21:16:42 UTC 2025","","2. --- with Case Number formatting in Org, AutoDispo OFF ","",""
"","98705","9.1 verify multiple Users and Groups can be saved in Case Officers field and Custom User/User Group","Add Case","Sat May 10 21:23:58 UTC 2025","failed","Sat May 10 21:25:37 UTC 2025","","9. --- with multiple users/groups in Case Officers field","",""
"","1","1. Import updates for all item fields","","Sat May 10 21:14:20 UTC 2025","broken","Sat May 10 21:14:20 UTC 2025","","Import Item Updates","",""
"","109666","8.1 verify that required custom form is attached to the case with blank fields","Add Case","Sat May 10 21:22:00 UTC 2025","failed","Sat May 10 21:23:49 UTC 2025","","8. --- with required Custom Form but not filled out, all optional fields on Form","",""
"","0","1.4. Create and run DR for multiple parent and child locations - starting with Child loc -  No Discrepancies Found","Inventory Reports","Sat May 10 21:14:11 UTC 2025","skipped","Sat May 10 21:14:11 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","0","2 Import Locations with required fields - verify default properties","","Sat May 10 21:14:57 UTC 2025","skipped","Sat May 10 21:14:57 UTC 2025","","Import Locations","",""
"","848","7 Validation messages for wrongly formatted values","","Sat May 10 21:15:18 UTC 2025","failed","Sat May 10 21:15:19 UTC 2025","","Import Notes","",""
"","139","2.2. Scanning some barcodes multiple times and checking all types of discrepancies in one Report: ""Barcode valid but not found in the system""""Items Not Scanned"", ""Wrong Storage Location"",""Container Not Scanned"",""Containers in Wrong Location""","Inventory Reports","Sat May 10 21:14:12 UTC 2025","failed","Sat May 10 21:14:13 UTC 2025","","2. Parent/child locations with items and containers","",""
"","66897","3.4 --- Duplicating item with Currency Form attached","Add Item","Sat May 10 21:35:50 UTC 2025","passed","Sat May 10 21:36:57 UTC 2025","","3 Add Item with Custom Form","",""
"","38428","5.1 verify Office Default Case Number Prefix","Add Case","Sat May 10 21:19:10 UTC 2025","failed","Sat May 10 21:19:48 UTC 2025","","5. --- with Default Case Number in Office ","",""
"","18596","1.3. Business Name populated only -- redirect to Add Item page","Add Person","Sat May 10 21:43:50 UTC 2025","passed","Sat May 10 21:44:09 UTC 2025","","1. Org Admin","",""
"","30340","6.1 verify Auto Assigned Case Number with Default Case Number Prefix","Add Case","Sat May 10 21:19:55 UTC 2025","passed","Sat May 10 21:20:25 UTC 2025","","6. --- with Auto Assigned Case Number ","",""
"","0","5 Validation messages for invalid values","","Sat May 10 21:14:37 UTC 2025","skipped","Sat May 10 21:14:37 UTC 2025","","Import Legacy Chain of Custody","",""
"","577","3. Import Person with all fields - Precheck Only","","Sat May 10 21:15:29 UTC 2025","failed","Sat May 10 21:15:30 UTC 2025","","Import People","",""
"","1","I.N_5 Five thousand tasks and verify count on search","","Sat May 10 21:14:47 UTC 2025","skipped","Sat May 10 21:14:47 UTC 2025","","Import Tasks","",""
"","34458","1.1.2. add user with required fields only","Add User","Sat May 10 21:50:05 UTC 2025","passed","Sat May 10 21:50:40 UTC 2025","","1.1 Org Admin","",""
"","1","I.C_1 Case with all fields -- user and user group in Case Officer(s) field","","Sat May 10 21:14:12 UTC 2025","broken","Sat May 10 21:14:12 UTC 2025","","Import Cases","",""
"","671","6 Validation messages for not mapped fields","","Sat May 10 21:15:17 UTC 2025","failed","Sat May 10 21:15:18 UTC 2025","","Import Notes","",""
"","86124","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases","Auto-Disposition","Sat May 10 21:14:41 UTC 2025","failed","Sat May 10 21:16:07 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","0","1.5 Org Admin-- minimum case fields -- redirect to Media tab on Case View page","Add Case","Sat May 10 21:14:38 UTC 2025","skipped","Sat May 10 21:14:38 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","56793","2. Edit and verify all values on Case View page -- keep the previous values and add new ones in multiselect fields (Case Officers, Tags)","","Sat May 10 21:17:56 UTC 2025","passed","Sat May 10 21:18:53 UTC 2025","","Edit Case","",""
"","3149","U.A_1. Send verification email","","Sat May 10 21:14:57 UTC 2025","failed","Sat May 10 21:15:00 UTC 2025","","User Actions","",""
"","8937","1.3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add User","Sat May 10 21:51:40 UTC 2025","failed","Sat May 10 21:51:49 UTC 2025","","1.3 --- with Custom Forms","",""
"","11241","1.2.1. Office Admin can create a new user account","Add User","Sat May 10 21:51:20 UTC 2025","failed","Sat May 10 21:51:31 UTC 2025","","1.2 Power User -- all permissions in Office","",""
"","126","3. Scanning 1000 items during Inventory report","Inventory Reports","Sat May 10 21:14:13 UTC 2025","failed","Sat May 10 21:14:13 UTC 2025","","2. Scanning 1000 items","",""
"","16786","1.2. Optional fields disabled -- redirect to View Added Item -- Item Belongs To Shows All People"" turned OFF in Org Settings -- multiple values selected for ""Item Belongs to"" and Tags","Add Item","Sat May 10 21:28:22 UTC 2025","failed","Sat May 10 21:28:39 UTC 2025","","1. Org Admin","",""
